dif,hgh
0,0.5
10,0.514
20,0.529
30,0.5429999999999999
40,0.557
50,0.5710000000000001
60,0.585
70,0.599
80,0.613
90,0.627
100,0.64
110,0.653
120,0.6659999999999999
130,0.679
140,0.691
150,0.703
160,0.715
170,0.727
180,0.738
190,0.7490000000000001
200,0.76
210,0.77
220,0.78
230,0.79
240,0.799
250,0.8079999999999999
260,0.8170000000000001
270,0.826
280,0.8340000000000001
290,0.841
300,0.8490000000000001
325,0.867
350,0.882
375,0.8959999999999999
400,0.909
425,0.92
450,0.93
475,0.9390000000000001
500,0.9470000000000001
525,0.9540000000000001
550,0.96
575,0.965
600,0.9690000000000001
625,0.973
650,0.977
675,0.98
700,0.983
725,0.985
750,0.987
775,0.9890000000000001
800,0.99
